entity_name,location,address,phone,email,website,profile_url,category_names_str,service_names_str,source_url
Clef des Champs,"Val-David, Québec","2205 Chemin de la Rivière, Val-David, Québec, J0T 2N0",819-322-1561,info@clefdeschamps.net,www.clefdeschamps.net,https://regenerationcanada.org/en/clef-des-champs/,,,https://regenerationcanada.org/en/map/
Hillview,"Cayuga, ON","378 Concession 7 Road, Cayuga, ON, N0A 1E0",5194277778,cory@vgmeats.ca,vgmeats.ca,https://regenerationcanada.org/en/hillview/,,,https://regenerationcanada.org/en/map/
Future Spell Farm Specialty Herbs,"Mono, ON","714538 1st Line EHS, Mono, ON, L9W 5T6",,connect@futurespell.com,futurespellfarm.com,https://regenerationcanada.org/en/future-spell-farm-specialty-herbs/,,,https://regenerationcanada.org/en/map/
Ferme Florale Libella Inc.,"Bury, Quebec","894 QC-214, Bury, Quebec, J0B 1J0, Canada",819-560-1894,charleneaudreychou@gmail.com,fermefloralelibella.com,https://regenerationcanada.org/en/ferme-florale-libella-inc/,,,https://regenerationcanada.org/en/map/
Kirkview Farms,"Dalkeith, Ontario","20921 Laggan Glenelg Rd, Dalkeith, Ontario, K0B 1E0",289-680-8684,info@kirkviewfarms.ca,www.kirkviewfarms.ca,https://regenerationcanada.org/en/kirkview-farms/,,,https://regenerationcanada.org/en/map/
South Glanton Farms,"Forrest, Manitoba","PO Box 61, Forrest, Manitoba, R0K 0W0",2047247019,rboydy@yahoo.ca,www.southglantonfarms.com,https://regenerationcanada.org/en/south-glanton-farms/,,,https://regenerationcanada.org/en/map/
Ferme de l\'odyssee,"Sainte-Monique, Québec","3240 Rang le Petit-Saint-Esprit, Nicolet, Québec, J3T 1T7",819-448-2383,sebastien.angers.regen@gmail.com,www.fermedelodyssee.ca,https://regenerationcanada.org/en/ferme-de-lodyssee/,,,https://regenerationcanada.org/en/map/
Yourco Ltd,"Sturgeon County, AB","54023 Range RD 262, Sturgeon County, AB, T8T 0Z2",7809191525,Ron.Bokenfohr@live.ca,Regenerativegrain.com,https://regenerationcanada.org/en/yourco-ltd/,,,https://regenerationcanada.org/en/map/
Woodleigh Farms Ltd.,"Cavan, ON","528 Sharpe Line, Cavan, ON, L0A 1C0",(705)761-2063,woodleighfarms@gmail.com,cavanfresh.ca,https://regenerationcanada.org/en/woodleigh-farms-ltd/,,,https://regenerationcanada.org/en/map/
Cardale Grain Corp.,"Newdale, MB","BOX 129, NEWDALE, MB, R0J 1J0",204-868-5329,chrisraupers@hotmail.com,https://engrainedflour.ca/,https://regenerationcanada.org/en/cardale-grain-corp/,,,https://regenerationcanada.org/en/map/
Edible Plant Source,"Saanich, BC","390 Brookleigh rd, Saanich, BC, V9E2J2",2505382380,Edibleplantsource@gmail.com,Www.edibleplantsource.com,https://regenerationcanada.org/en/edible-plant-source/,,,https://regenerationcanada.org/en/map/
Sunnie Valley Farms,"Westlock Alberta, Alberta","box5661, Westlock Alberta, Alberta, T7P2P6",780-349-3937,sheehan6@telus.net,sunnievalleyfarms.com,https://regenerationcanada.org/en/sunnie-valley-farms/,,,https://regenerationcanada.org/en/map/
Houle Farm,"Curran, ON, CA","2300 County Rd 2, Curran, Ontario, K0B 1C0, Canada",613-402-3061,fermehoulefarm@gmail.com,,https://regenerationcanada.org/en/houle-farm/,,,https://regenerationcanada.org/en/map/
Hjertaas Farm,"Redvers, Saskatchewan","Redvers, Saskatchewan, S0C 2H0",306-840-7223,hjertaas1@icloud.com,,https://regenerationcanada.org/en/hjertaas-farm/,,,https://regenerationcanada.org/en/map/
Lightfoot & Wolfville Vineyards,"Wolfville, Nova Scotia","11143 Evangeline Trail, Wolfville, Nova Scotia, B4P 2R1",902-542-7774,info@lightfootandwolfville.com,lightfootandwolfville.com,https://regenerationcanada.org/en/lightfoot-wolfville-vineyards/,,,https://regenerationcanada.org/en/map/
Steel Pony Farm,"Red Deer County, AB","27042 Township Road 372, Red Deer County, AB, T4E1N6",403-506-3624,mike@steelpony.ca,www.steelpony.ca,https://regenerationcanada.org/en/steel-pony-farm/,,,https://regenerationcanada.org/en/map/
Ferme Clerjoye,"St-Marc, Qc","441 rang des 60, St-Marc, Qc, J0l 2e0",5142355516,,,https://regenerationcanada.org/en/ferme-clerjoye/,,,https://regenerationcanada.org/en/map/
Aliksir,"Grondines, QC","1040 Chemin du Roy, Grondines, QC, G0A 1W0",(418)268-3406,lucie.mainguy@aliksir.com,aliksir.com,https://regenerationcanada.org/en/aliksir/,,,https://regenerationcanada.org/en/map/
Covert Farms Family Estate,"Oliver, British Columbia","300 Covert Place, Oliver, British Columbia, V0H 1T5",250-498-9463,info@covertfarms.ca,www.covertfarms.ca,https://regenerationcanada.org/en/covert-farms-family-estate_/,,,https://regenerationcanada.org/en/map/
Scout Vineyard,"Cawston, BC","761 highway 3, Cawston, BC, V0X 1C3",250-499-1556,Murray@scoutvineyard.com,Scoutvineyard.com,https://regenerationcanada.org/en/scout-vineyard/,,,https://regenerationcanada.org/en/map/
Ferme Vimo (2010) Inc.,"Hatley, Québec","458 chemin du Ruisseau, Hatley, Québec, J0B4B0",819-560-1325,fermevimo@hotmail.com,,https://regenerationcanada.org/en/ferme-vimo/,,,https://regenerationcanada.org/en/map/
La Station (Ferme Pierre Bolduc enr),"Compton, Québec","440, chemin de Hatley, Compton, QUÉBEC, J0B 1L0",8196744840,,fromagerielastation.com,https://regenerationcanada.org/en/la-station/,,,https://regenerationcanada.org/en/map/
Borderland Agriculture,"Pierson, Manitoba","Box 288, Pierson, Manitoba, R0M 1S0",,whites@borderlandagriculture.com,borderlandagriculture.com,https://regenerationcanada.org/en/borderland-agriculture/,,,https://regenerationcanada.org/en/map/
Crescentwood Farms Ltd.,"Russell, Manitoba","Box 478, Russell, Manitoba, R0J 1W0",+1 431 761 7881,CrescentwoodFarms@posteo.ca,crescentwood.ca,https://regenerationcanada.org/en/crescentwood-farms-ltd/,,,https://regenerationcanada.org/en/map/
Happiness By The Acre,"Didsbury, Alberta","6615 Silver Springs Crescent, Didsbury, Alberta, T0M 0W0",403-796-8293,farming@happinessbytheacre.ca,www.happinessbytheacre.ca,https://regenerationcanada.org/en/happiness-acre/,,,https://regenerationcanada.org/en/map/
Ferme Terra Terre,"Lac Brome, QC","230 ch Papineau, Lac Brome, QC, J0E 1S0",5146776903,catherine@4everfood.com,terraterre.square.site/,https://regenerationcanada.org/en/ferme-terra-terre/,,,https://regenerationcanada.org/en/map/
Cedar Creek Estate Winery,"Kelowna, BC","5445 Lakeshore Rd, Kelowna, BC, V1W4S5",778-738-1020,ksimcic@sebastianfarms.ca,cedarcreek.bc.ca,https://regenerationcanada.org/en/cedar-creek-estate-winery/,,,https://regenerationcanada.org/en/map/
StoneCroft Farm,"Black Creek, British Colombia","2165 Kelland Rd, Black Creek, British Colombia, V9J 1G4",250-334-7159,glenandkathybeaton@live.com,,https://regenerationcanada.org/en/stonecroft-farm/,,,https://regenerationcanada.org/en/map/
re.Planted Farm & Florals,"Deep River, Ontario","36 Wolfe Avenue, Deep River, Ontario, K0J1P0",6399160315,letschat@replantedfarm.ca,replantedfarm.ca,https://regenerationcanada.org/en/replanted-farm-amp-florals/,,,https://regenerationcanada.org/en/map/
Ferme Rejo Holstein,"Wotton, Québec","243 2e rang, Wotton, Québec, J0A 1NO",819-571-5837,rejoholstein@gmail.com,www.facebook.com/profile.php?id=61551898040298,https://regenerationcanada.org/en/ferme-rejo-holstein/,,,https://regenerationcanada.org/en/map/
Local Valley Beef,"Long Settlement, New Brunswick","3532 NB-550, Long Settlement, New Brunswick, E7K 1R3",506-260-0872,,www.localvalleybeef.ca,https://regenerationcanada.org/en/local-valley-beef/,,,https://regenerationcanada.org/en/map/
Earth Temple Gardens,"Argenta, British Colombia","Argenta, British Columbia, V0G 1B0",250-366-4618,earthtemplegardens@gmail.com,www.earthtemplegardens.ca,https://regenerationcanada.org/en/earth-temple-gardens/,,,https://regenerationcanada.org/en/map/
Organics Farm,"Markham, Ontario","7550 19th Ave, Markham, Ontario, L6B 1A8",905-640-5206,info@organicsfarm.ca,www.organicsfarm.ca,https://regenerationcanada.org/en/organics-farm/,,,https://regenerationcanada.org/en/map/
Rose Hill Orchard,"Lake Country, BC","11911 Okanagan Centre Rd E, Lake Country, BC, V4V 1G3",4167702835,,Www.rosehillorchard.com,https://regenerationcanada.org/en/rose-hill-orchard/,,,https://regenerationcanada.org/en/map/
Wildwood Flowr,"Westcock, NB","102A Route 935, Westcock, NB, E4L 2E7",+1 902 698 0454,av@fs-cannabis.com,,https://regenerationcanada.org/en/wildwood-flowr/,,,https://regenerationcanada.org/en/map/
Carter Cattle Company,"Lacadena, Saskatchewan","PO Box 69, Lacadena, Saskatchewan, S0L 1V0",306-574-4908,cartercattle@xplornet.com,,https://regenerationcanada.org/en/carter-cattle/,,,https://regenerationcanada.org/en/map/
Hazy Hollow Acres,"Picture Butte, AB","P.O. Box 946, Picture Butte, AB, T0K1V0",4033080010,teresavdha@gmail.com,hazyhollowacres.weebly.com,https://regenerationcanada.org/en/hazy-hollow-acres/,,,https://regenerationcanada.org/en/map/
Green Beach Farm and Food,"Strathclair , Manitoba","Box 57, Strathclair , Manitoba, R0J 2C0",204-365-6358,greenbeachfarm@gmail.com,greenbeachfarm.com,https://regenerationcanada.org/en/green-beach-farm-and-food/,,,https://regenerationcanada.org/en/map/
Four Goats Farm,"Delta, Ontario","735 Daytown rd, Delta, Ontario, K0E 1G0",647-859-8997,fourgoatsfarm@gmail.com,fourgoatsfarm.com,https://regenerationcanada.org/en/four-goats-farm/,,,https://regenerationcanada.org/en/map/
Moondance Organic Gardens,"Angus, Ontario","8463 5th Line, Angus, Ontario, L0M 1B1",17057198705,mogfarm@gmail.com,moondanceorganics.ca,https://regenerationcanada.org/en/moondance-organic-gardens/,,,https://regenerationcanada.org/en/map/
Capella Meadows,"Brussels , Ontario","44053 Moncrieff Rd., Brussels , Ontario, N0G1H0",,mail@capellameadows.ca,capellameadows.ca,https://regenerationcanada.org/en/capella-meadows/,,,https://regenerationcanada.org/en/map/
Box H Farm,"Gladmar, Saskatchewan","PO Box 1, Gladmar, Saskatchewan, S0C 1A0",306-815-7191,boxhfarm@gmail.com,www.boxhfarm.ca,https://regenerationcanada.org/en/box-h-farm/,,,https://regenerationcanada.org/en/map/
Maple Ridge Farm,"Sydenham, ON","3098 Alton Rd E, Sydenham, ON, K0H 2T0",6135322981,mapleridgefarmer@gmail.com,mapleridge-farm.com,https://regenerationcanada.org/en/maple-ridge-farm/,,,https://regenerationcanada.org/en/map/
Ferme Lionel Angers inc,"Saint-Cesaire, Québec","128 Rang De La Petite Barbue, Saint-Cesaire, Québec, J0L 1T0",4503609797,frangers@msn.com,,https://regenerationcanada.org/en/ferme-lionel-angers-inc/,,,https://regenerationcanada.org/en/map/
Farm One Forty,"Vanscoy, SK","Box 530, Vanscoy, SK, S0L 3J0",306-381-8931,info@farmoneforty.ca,farmoneforty.ca,https://regenerationcanada.org/en/farm-one-forty/,,,https://regenerationcanada.org/en/map/
Upland Organics,"Wood Mountain, SK, CA","Box 113, Wood Mountain, Saskatchewan, S0H 4L0, Canada",306-266-4646,allison@uplandorganics.ca,uplandorganics.ca,https://regenerationcanada.org/en/upland-organics/,,,https://regenerationcanada.org/en/map/
Old 99 Farm,"Dundas, ON","1580 Old Hwy 99, Dundas, ON, L9H 5E3",905 537 0163,old99farm2015@gmail.com,old99farm.ca,https://regenerationcanada.org/en/old-99-farm/,,,https://regenerationcanada.org/en/map/
Coopérative Ferme Terre Partagée,"Rogersville, New Brunswick","1312 Pleasant Ridge, Rogersville, NB, E4Y 1C8",506 251 8246,info@ftpcoop.com,fermeterrepartagee.org,https://regenerationcanada.org/en/cooperative-ferme-terre-partagee/,,,https://regenerationcanada.org/en/map/
Ferme maraîchère le Baluchon s.e.n.c.,"Rigaud, Québec","576, Ch. du Haut-de-la-Chute, Rigaud, Québec, J0P 1P0",450-451-1116,info@fermelebaluchon.com,www.fermelebaluchon.com,https://regenerationcanada.org/en/ferme-le-baluchon/,,,https://regenerationcanada.org/en/map/
Diddley Squash Farm,"Salisbury West, NB, Canada","291 Scott Road, Salisbury West, NB, E4J 3K4, Canada",506-872-4984,selinkle@aol.com,certified.naturallygrown.org/producers/5639,https://regenerationcanada.org/en/diddley-squash-farm/,,,https://regenerationcanada.org/en/map/
Backwoods Buffalo Ranch,"Mayerthorpe, Alberta","Box 336, Mayerthorpe, Alberta, T0E 1N0",780-305-8449,backwoodsbuffaloranch@gmail.com,www.backwoodsbuffalo.com,https://regenerationcanada.org/en/backwoods-buffalo-ranch/,,,https://regenerationcanada.org/en/map/
Oneka,"Frelighsburg, Québec","23 rue Principale, Frelighsburg, Québec, J0J 1C0",450-298-5352,contact@onekaelements.com,www.onekaelements.com,https://regenerationcanada.org/en/oneka/,,,https://regenerationcanada.org/en/map/
La Balzane_Sol Vivant à l\'Oeuvre,"Saint-Simon-de-Bagot, Québec","217 4e Rang Ouest, Saint-Simon-de-Bagot, Québec, J0H 1Y0",5148333528,domainelabalzane@gmail.com,labalzane.ca,https://regenerationcanada.org/en/la-balzanesol-vivant-a-loeuvre/,,,https://regenerationcanada.org/en/map/
The Knotted Willow Farm and Nursery,"Muirkirk, Ontario","14559 Talbot Line, Muirkirk, Ontario, N0L1X0",519-702-7304,aguyitt@gmail.com,theknottedwillowfarm.ca,https://regenerationcanada.org/en/knotted-willow-farm/,,,https://regenerationcanada.org/en/map/
Sharon Creek Farm,"East Gwillimbury, Ontario","18805 Second Concession, East Gwillimbury, Ontario, L9N 0G6",905-758-7856,info@sharoncreekfarm.ca,www.sharoncreekfarm.ca,https://regenerationcanada.org/en/sharon-creek-farm/,,,https://regenerationcanada.org/en/map/
Au Petit Boisé,"Dunham, Quebec","986 hudon, Dunham, Quebec, J0E 1M0",450-295-2471,aupetitboise@gmail.com,aupetitboise.com,https://regenerationcanada.org/en/au-petit-boise/,,,https://regenerationcanada.org/en/map/
Ferme Rêveuse,"Curran, Ontario","560 Plantagenet Concession 8, Curran, Ontario, K0B 1C0",613-799-7990,schneider@ferme-reveuse.ca,ferme-reveuse.ca,https://regenerationcanada.org/en/ferme-reveuse/,,,https://regenerationcanada.org/en/map/
Pure Pasture Products,"Rose Prairie, British Columbia","5072 Doig Rd Rose Prairie, British Columbia, V0C 2H0",780-864-8093,purepastureproducts@gmail.com,www.purepastureproducts.com,https://regenerationcanada.org/en/pure-pasture-products/,,,https://regenerationcanada.org/en/map/
Bla-Kar Farms,"Merlin, Ontario","22925 Merlin Road, Merlin, Ontario, N0P 1W0",519-359-0924,e.blakevince@gmail.com,,https://regenerationcanada.org/en/bla-kar-farms/,,,https://regenerationcanada.org/en/map/
Horizon Hog Farm,"Martintown, Ontario","19047 Beaverbrook Rd, Martintown, Ontario, K0C 1S0",343-370-2598,horizonhogfarm@gmail.com,www.horizonhogfarm.com,https://regenerationcanada.org/en/horizon-hog-farm/,,,https://regenerationcanada.org/en/map/
Patch Farm,"Brome, Québec","328 Stagecoach, Brome, Québec, J0E1K0",450-775-8698,fermepatchfarm@gmail.com,facebook.com/fermepatchfarm,https://regenerationcanada.org/en/patch-farm_/,,,https://regenerationcanada.org/en/map/
Blue Sky Beef,"Arthur, Ontario","8648 Highway 6, Arthur, Ontario, N0G 1A0", 519-831-2445,jwecraig@gmail.com,,https://regenerationcanada.org/en/blue-sky-beef/,,,https://regenerationcanada.org/en/map/
Ferme Guayclair,"Brownsburg-Chatham, Québec","235 Montée la Branche, Brownsburg-Chatham, Québec, J8G 2E5",514-705-9902,guayclair@live.ca,www.fermeguayclair.com,https://regenerationcanada.org/en/ferme-guayclair/,,,https://regenerationcanada.org/en/map/
Richards Family Farm and Livestock Ltd.,"Bangor, SK","Box 84, Bangor, SK, S0A 0Eo",3067285864,glrichards@sasktel.net,wholefarmmarket.com,https://regenerationcanada.org/en/richards-family-farm-and-livestock-ltd/,,,https://regenerationcanada.org/en/map/
La VAM Box,"St-Sebastien, Québec","1432, Rang Des Dussault, St-Sebastien, Québec, J0J2C0",514-617-6207,audrey@bogemans.ca,,https://regenerationcanada.org/en/la-vam-box/,,,https://regenerationcanada.org/en/map/
Arch Lea Farm,"Cumberland, ON","3846 Wilhaven Drive, Cumberland, ON, K4C 1J8",,archleafarm@gmail.com,https://www.archleafarm.com/,https://regenerationcanada.org/en/arch-lea-farm/,,,https://regenerationcanada.org/en/map/
C. Fensky Farms,"Thorsby, AB","RR1 South, Thorsby, AB, T0C2P0",,,,https://regenerationcanada.org/en/c-fensky-farms/,,,https://regenerationcanada.org/en/map/
Whole Village Property Co-operative,"Caledon, Ontario","20725 Shaws Creek Rd, Caledon, Ontario, L7K 1L7",519-942-4010,info@wholevillage.org,www.wholevillage.org,https://regenerationcanada.org/en/whole-village-property-cooperative/,,,https://regenerationcanada.org/en/map/
Coen Farm,"Ferintosh, AB","Box 165, Ferintosh, AB, T0B 1M0",,,www.coenfarm.ca,https://regenerationcanada.org/en/coen-farm/,,,https://regenerationcanada.org/en/map/
Sperling Vineyards,"Kelowna, British Columbia","1405 Pioneer Road, Kelowna, British Columbia, V1W 4M6",778-478-0260,info@sperlingvineyards.com,www.sperlingvineyards.com,https://regenerationcanada.org/en/sperling-vineyards/,,,https://regenerationcanada.org/en/map/
