entity_name,category_names,service_names,products,products_rpc_codes,products_rpc_names,email,phone,website,location,profile_url,source_url
Meeting Place Organic Farm,Beef; Poultry; Fruit; Value-added products,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Grass fed and finished beef, Pastured Pork, Pastured Poultry (Chickens), Pastured Ducks and Geese, Free range pastured chicken eggs, Free range pastured duck and quail eggs, Apples, Apple Butter, Apple Cider, Apple Cider Vinegar, Heirloom Tomato plants, Other garden bedding plants, Flower Bouquets & Bouquet Subscriptions",,,meetingplaceorganicfarm@gmail.com,519-528-2493,https://www.meetingplaceorganicfarm.ca,"Lucknow, Ontario",https://regenerationcanada.org/en/meeting-place-organic-farm/,https://regenerationcanada.org/en/map/
Divine Colour Acres,Honey & bee products; Vegetables,Workshops & trainings; Activities for kids; Farm tour (for other farmers),"Fresh cut flowers, natural dyes, dried florals, garlic",,,divinecolouracres@gmail.com,,https://www.divinecolouracres.ca/,"Almonte, ON",https://regenerationcanada.org/en/divine-colour-acres/,https://regenerationcanada.org/en/map/
Juniper,Vegetables,,"mixed vegetables, farm-to-table kitchen",,,info@juniperfarm.ca,819-459-1630,https://juniperfarm.ca,"Wakefield, quebec",https://regenerationcanada.org/en/juniper/,https://regenerationcanada.org/en/map/
Scorched Earth Vineyard & Winery,Seeds,Farm tour (for general public); Volunteer program; Internship program; Wwoofing,Wine,,,info@scorchedearthwinery.ca,250-717-7994,https://www.scorchedearthwinery.ca,"Kelowna, British Columbia",https://regenerationcanada.org/en/scorched-earth-vineyard-winery/,https://regenerationcanada.org/en/map/
Box H Farm,Beef; Mixed farming,Farm tour (for other farmers); Farm tour (for general public); Volunteer program,"Grass-fed beef, Pasture-raised pork, Honey",,,boxhfarm@gmail.com,306-815-7191,https://www.boxhfarm.ca,"Gladmar, Saskatchewan",https://regenerationcanada.org/en/box-h-farm/,https://regenerationcanada.org/en/map/
Scout Vineyard,Grains; Seeds,Soil testing; Farm equipment sharing,"Wine grapes - syrah, Wine grapes - Riesling, Wine grapes - Pinot Gris, Wine Grapes - Cab Sauv",,,Murray@scoutvineyard.com,250-499-1556,https://Scoutvineyard.com,"Cawston, BC",https://regenerationcanada.org/en/scout-vineyard/,https://regenerationcanada.org/en/map/
98 Ranch,Beef,Workshops & trainings,"Grassfed Beef, Eggs, Forage developed bulls as part of Pharo Cattle Co. Network",,,98ranch.ross@gmail.com,306-447-4600,,"Lake Alma, Saskatchewan",https://regenerationcanada.org/en/98-ranch-2/,https://regenerationcanada.org/en/map/
Ferme Guayclair,Beef; Pork; Lamb,Farm equipment sharing; Pick-your-own; Farm tour (for other farmers),"Beef, Wheat, Soy, Hay",,,guayclair@live.ca,514-705-9902,https://www.fermeguayclair.com,"Brownsburg-Chatham, Québec",https://regenerationcanada.org/en/ferme-guayclair/,https://regenerationcanada.org/en/map/
Southbrook Vineyards,Beef; Poultry; Seeds; Other / multiple categories,Farm tour (for other farmers); Farm tour (for general public),"Wine, Lamb, Pork, Beef, Eggs",,,info@southbrook.com,905-380-9095,https://www.southbrook.com,"Niagara on the Lake, Ontario",https://regenerationcanada.org/en/southbrook-vineyard/,https://regenerationcanada.org/en/map/
Ferme Rejo Holstein,Beef; Dairy,,"Milk (commercially), Wagyu Beef",,,rejoholstein@gmail.com,819-571-5837,https://www.facebook.com/profile.php?id=61551898040298,"Wotton, Québec",https://regenerationcanada.org/en/ferme-rejo-holstein/,https://regenerationcanada.org/en/map/
La Ferme Végétale,Vegetables; Fruit; Mixed farming,Workshops & trainings; Pick-your-own; Wwoofing,"Honey, honeyberry, garlic",,,lafermevegetale@hotmail.com,4186906001,https://lafermevegetale.ca,"labrecque, Quebec",https://regenerationcanada.org/en/la-ferme-vegetale/,https://regenerationcanada.org/en/map/
Open Sky Co-operative,Poultry; Vegetables; Fruit; Grains; Honey & bee products; Mixed farming,Farm tour (for other farmers); Farm tour (for general public); Volunteer program,"Eggs, Honey, Raspberries, Blackberries, Plums, Wild cranberries, Gooseberries, Currants (red and black), Fresh vegetables in season, Pickles, Preserves, Wildflowers, Jalapeno salts, Hot chocolate mixes, Dried Herbs, Grapes",,,farmer@openskyco-op.ca,(506) 536-4565,https://openskyco-op.ca/homepage,"Sackville, NB",https://regenerationcanada.org/en/open-sky-co-operative/,https://regenerationcanada.org/en/map/
Ferme Terra Terre,Poultry; Vegetables; Fruit; Honey & bee products,Farm equipment sharing; Pick-your-own; Farm tour (for general public); Volunteer program; Internship program; Wwoofing,"Vegetables, fruits, eggs, flowers",,,catherine@4everfood.com,5146776903,https://terraterre.square.site/,"Lac Brome, QC",https://regenerationcanada.org/en/ferme-terra-terre/,https://regenerationcanada.org/en/map/
À l\'Herbe! Bouvillons de pâturage,Beef; Poultry,,"Grassfed beef, Pork, Poultry, Eggs",,,info@alherbe.ca,418-285-7784,https://www.alherbe.ca,"Pont-Rouge, Québec",https://regenerationcanada.org/en/a-lherbe/,https://regenerationcanada.org/en/map/
Happiness By The Acre,Beef; Poultry; Vegetables; Mixed farming; Other / multiple categories,Farm tour (for other farmers); Farm tour (for general public); Volunteer program,"Chicken, Eggs, Beef, Pork, Honey, Vegetables, Garlic, Hay",,,farming@happinessbytheacre.ca,403-796-8293,https://www.happinessbytheacre.ca,"Didsbury, Alberta",https://regenerationcanada.org/en/happiness-acre/,https://regenerationcanada.org/en/map/
Carter Cattle Company,Beef; Pork; Lamb,,Grass-fed beef,,,cartercattle@xplornet.com,306-574-4908,,"Lacadena, Saskatchewan",https://regenerationcanada.org/en/carter-cattle/,https://regenerationcanada.org/en/map/
Richards Family Farm and Livestock Ltd.,Beef; Pork; Lamb,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Internship program,"beef cattle, grass-finished beef, forage-based cattle genetics, forage grain seed, carbon negative regenerative grain, consulting",,,glrichards@sasktel.net,3067285864,https://wholefarmmarket.com,"Bangor, SK",https://regenerationcanada.org/en/richards-family-farm-and-livestock-ltd/,https://regenerationcanada.org/en/map/
Clearview Farms Inc,Pork,,"Compost tea, grains, oil seeds, pulses",,,cr.galarneau@sasktel.net,306-869-7136,,"Radville, Saskatchewan",https://regenerationcanada.org/en/clearview-farms-inc/,https://regenerationcanada.org/en/map/
Merkaba Acres,Beef; Poultry; Vegetables; Honey & bee products,Farm equipment sharing; Farm tour (for other farmers); Volunteer program,"grass-fed beef, pasture raised eggs, vegetables, flowers",,,info@merkabaacres.com,416-726-8866,https://merkabaacres.com,"Bobcaygeon, Ontario",https://regenerationcanada.org/en/merkaba-acres/,https://regenerationcanada.org/en/map/
Icellars Estate Winery,Seeds,,Organic Wine,,,info@icellars.ca,2894795969,https://icellars.ca,"Niagara-on-the-Lake, Ontario",https://regenerationcanada.org/en/icellars-estate-winery/,https://regenerationcanada.org/en/map/
Zinn Farms,Beef; Poultry,Farm tour (for other farmers); Farm tour (for general public),"heritage pork cuts, sausages, bacon, ham, chicken whole, chicken cuts, chicken sausages, chicken eggs",,,freerange@zinnfarms.com,204-471-3418,https://zinnfarms.com,"Springstein, Manitoba",https://regenerationcanada.org/en/zinn-farms/,https://regenerationcanada.org/en/map/
Les Jardins Collaboratifs du Moutonblon,Lamb; Vegetables; Fruit; Grains; Honey & bee products,Farm tour (for other farmers); Farm tour (for general public),About forty different varieties of organic vegetables,,,olivier@jardinsmoutonblon.ca,514-377-9148,https://jardinsmoutonblon.ca,"Saint-Charles-sur-Richelieu, Québec",https://regenerationcanada.org/en/les-jardins-collaboratifs-du-moutonblon/,https://regenerationcanada.org/en/map/
Blue Sky Beef,Beef; Poultry,Workshops & trainings; Farm tour (for other farmers),"Chickens, Eggs, Pastured beef",,,jwecraig@gmail.com,519-831-2445,,"Arthur, Ontario",https://regenerationcanada.org/en/blue-sky-beef/,https://regenerationcanada.org/en/map/
The Dogs Run Farm,Beef; Poultry,Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Wwoofing; Employment opportunities,"Pork, Lamb, Beef, chicken, turkey, soap, eggs",,,hello@thedogsrunfarm.com,2048732025,https://thedogsrunfarm.com,"Clearwater, Manitoba",https://regenerationcanada.org/en/the-dogs-run-farm/,https://regenerationcanada.org/en/map/
Howpark Farms,Beef; Pork,Farm tour (for other farmers); Farm tour (for general public),"Grass-fed Organic Beef, Pasture Pork, Pasture Chickens, Organic Flax, Organic Wheat, Organic Barley",,,info@howpark.ca,204-725-1006,https://www.howpark.ca,"Brandon, Manitoba",https://regenerationcanada.org/en/howpark-farms/,https://regenerationcanada.org/en/map/
Rosengren Farms,Pork; Lamb,Farm tour (for other farmers); Farm tour (for general public); Internship program,"canola, non-GMO canola, flax, mustard, hemp, soybeans, lentils, peas, maple peas, chickpeas, wheat, durum, barley, oats, rye",,,colin@rosengrenfarms.com,306-458-7792,,"Midale, Saskatchewan",https://regenerationcanada.org/en/rosengren-farms/,https://regenerationcanada.org/en/map/
Hayfield Farm,Poultry; Vegetables; Fruit; Nuts; Seeds,Farm equipment sharing; Farm tour (for other farmers); Internship program,"Wine grapes, Eggs, Fruits, Vegetables",,,,,https://hayfieldfarm.ca,"Saint-Armand, Québec",https://regenerationcanada.org/en/hayfield-farm/,https://regenerationcanada.org/en/map/
GoodLot Farm + Farmstead Brewing Co.,Other / multiple categories,Farm tour (for other farmers); Farm tour (for general public); Internship program,"Beer, Seasonal vegetables",,,gail@goodlot.farm,519-927-5881,https://www.goodlot.beer,"Alton, Ontario",https://regenerationcanada.org/en/goodlot/,https://regenerationcanada.org/en/map/
Woodleigh Farms Ltd.,Pork; Vegetables; Value-added products; Mixed farming; Other / multiple categories,Soil testing; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Organic Maple Syrup, Compost, Market Vegetables, Firewood, Hay, Straw, Corn, Soybeans, Oats, Wheat, Small Grains",,,woodleighfarms@gmail.com,(705)761-2063,https://cavanfresh.ca,"Cavan, ON",https://regenerationcanada.org/en/woodleigh-farms-ltd/,https://regenerationcanada.org/en/map/
Morgan Creek Farm,Beef; Poultry; Vegetables; Fruit; Grains; Honey & bee products; Mixed farming; Other / multiple categories,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Wwoofing,"Chicken, Lamb, Turkey, Eggs, Vegetables, Fruit, Compost, Honey",,,aaron-grant@shaw.ca,250-616-9787,https://fb.com/Morgan-Creek-Farm-277538379293864/,"Nanaimo, British Columbia",https://regenerationcanada.org/en/morgan-creek-farm/,https://regenerationcanada.org/en/map/
Snowy Mountain Farm,Fruit,,"Cherries, Apricots, Peaches, Plums, Apples, Pears, Quince, Grapes",,,snowymountainfarm@gmail.com,2504992115,https://snowymountainfarm.com,"Cawston, British Columbia",https://regenerationcanada.org/en/snowy-mountain-farm/,https://regenerationcanada.org/en/map/
Les Jardins en Mouvement,Beef; Poultry; Vegetables; Fruit; Other / multiple categories,Wwoofing,"Kimchi, vegan dumplings, pork and kimchi dumplings, kimchi sausage, pikliz, sauerkraut, pastured chicken, eggs, squash, cabbage, garlic, onions, seasonal dishes",,,ljem.info@gmail.com,4383570977,https://jardins.dunham.info,"Dunham, Quebec",https://regenerationcanada.org/en/les-jardins-en-mouvement/,https://regenerationcanada.org/en/map/
Big Bear Ranch,Beef; Mixed farming,Farm tour (for general public); Volunteer program; Wwoofing; Employment opportunities,"grassfed and grass finished lamb and beef, pasture raised heritage pigs, custom grazing for certified organic beef",,,info@bigbearranch.com,2506203353,https://bigbearranch.com,"HORSEFLY, British Columbia",https://regenerationcanada.org/en/big-bear-ranch/,https://regenerationcanada.org/en/map/
Little Fields Farm,Beef; Poultry; Vegetables; Honey & bee products,Farm tour (for other farmers); Volunteer program,"Eggs, Arugula, Basil, Beans, Beets, Broccoli, Cabbage, Nappa cabbage, Carrots, Chard, Chicken, Chives, Cilantro, Collards, Cucumbers, Pickling cucumbers, Dill, Edamame, Eggplants, Fennel, Green onions, Ground cherries, Kale, Kohlrabi, Leeks, Head lettuce, Lettuce mix, Okra, Onions, Oregano, Pak choi, Pork, Turkey, Vegetables, Flowers, Herbs, Soap, Preserves",,,claire@littlefields.farm,226-927-4440,https://www.littlefields.farm,"Bright, Ontario",https://regenerationcanada.org/en/little-fields-farm/,https://regenerationcanada.org/en/map/
Green Beach Farm and Food,Beef; Poultry; Pork,Pick-your-own; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Grass-finished Beef, Forest-raised pork, pastured chickens, pastured eggs, certified organic small grains, certified organic chicken feed .",,,greenbeachfarm@gmail.com,204-365-6358,https://greenbeachfarm.com,"Strathclair , Manitoba",https://regenerationcanada.org/en/green-beach-farm-and-food/,https://regenerationcanada.org/en/map/
Peony Farms,Beef; Pork,Farm tour (for other farmers); Farm tour (for general public); Employment opportunities,Bulk beef products,,,,,https://peonyfarms.com,"Lacombe, Alberta",https://regenerationcanada.org/en/peony-farms-2/,https://regenerationcanada.org/en/map/
Schill Family Farm - Organics,Beef; Poultry; Pork; Lamb,Activities for kids; Farm tour (for other farmers); Farm tour (for general public),"eggs, pork, lamb, spelt, lentils, flax, sunflower seeds, chicken, dry beans",,,schillfamilyfarm@outlook.com,3063317858,,"Balcarres, Saskatchewan",https://regenerationcanada.org/en/schill-family-farm-organics/,https://regenerationcanada.org/en/map/
Pâturages du Lac Brome,Beef,Farm tour (for other farmers),"Beef, Lamb, Chicken",,,emilie1080@gmail.com,5142624421,https://www.paturagesdulacbrome.com,"Bolton-Ouest, QC",https://regenerationcanada.org/en/paturages-du-lac-brome/,https://regenerationcanada.org/en/map/
Old 99 Farm,Beef; Poultry; Vegetables; Dairy; Fruit; Grains; Other / multiple categories,Workshops & trainings; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public); Internship program; Wwoofing,"beef, pork, chicken, eggs, vegetables, berries, stone fruit, compost",,,old99farm2015@gmail.com,905 537 0163,https://old99farm.ca,"Dundas, ON",https://regenerationcanada.org/en/old-99-farm/,https://regenerationcanada.org/en/map/
Rubber Boot Farm,Beef; Poultry; Mixed farming,Pick-your-own; Farm tour (for general public),"Pork, Broilers, Eggs, Honey, Garlic, Herbs, Goats",,,rubberboot.farm@gmail.com,705-365-0770,https://facebook.com/RubberBootFarm,"Timmins, Ontario",https://regenerationcanada.org/en/rubber-boot-farm/,https://regenerationcanada.org/en/map/
Leaf & Lyre Urban Farms,Vegetables,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Wwoofing,"Kale, Sunchokes, Beets, Zucchini, Cabbage, Preserves, Radicchio",,,rod.olson@gmail.com,403-703-3217,https://leafandlyre.net,"Calgary, AB, CA",https://regenerationcanada.org/en/leaf-lyre-urban-farms/,https://regenerationcanada.org/en/map/
Horizon Hog Farm,Beef; Poultry,Soil testing,"Pork, Chicken, Eggs",,,horizonhogfarm@gmail.com,343-370-2598,https://www.horizonhogfarm.com,"Martintown, Ontario",https://regenerationcanada.org/en/horizon-hog-farm/,https://regenerationcanada.org/en/map/
Pépinière du bocage,Value-added products,Workshops & trainings,"Fruit trees, Edible shrubs, Nut trees, Native trees and shrubs",,,info@bocage.eco,4389881418,https://bocage.eco,"Frelighsburg, Québec",https://regenerationcanada.org/en/pepiniere-du-bocage/,https://regenerationcanada.org/en/map/
Vallée Des Prairies,Pork; Vegetables,Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Farm dinners and events,"Vegetables, Buckwheat, Teff",,,bio@valleedesprairies.com,418-809-7763,https://www.valleedesprairies.com,"St-François-de-la-Rivière-du-Sud, Québec",https://regenerationcanada.org/en/vallee-des-prairies/,https://regenerationcanada.org/en/map/
Fishburn Ranch,Beef,Activities for kids; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public),"Grass-finished beef, Pastured poultry, Seasonal garden produce, Saskatoon berries",,,casey@fishburnranch.com,403-627-9887,https://www.fishburnranch.com,"Pincher Creek, Alberta",https://regenerationcanada.org/en/fishburn-ranch/,https://regenerationcanada.org/en/map/
Ferme Clerjoye,Dairy,Farm tour (for other farmers); Internship program,Milk,,,,5142355516,,"St-Marc, Qc",https://regenerationcanada.org/en/ferme-clerjoye/,https://regenerationcanada.org/en/map/
Axten Farms,Pork; Lamb,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Internship program,"GRAINS:Winter peas, chickling vetch, fall rye, Spring Wheat Blend, Red fife, spelt, buckwheat, flax, mustard, Khorasan, desi chickpeas, einkorn, camelina, lentils WHOLE GRAIN FLOURS: Spring Wheat Blend, Spelt, Red Fife, Rye, Buckwheat, Chickpea, Khorasan, Einkorn",,,tannis@axtenfarms.ca,,https://www.axtenfarms.ca,"Minton, Saskatchewan",https://regenerationcanada.org/en/axten-farms-2/,https://regenerationcanada.org/en/map/
Ferme Rêveuse,Beef; Poultry,Farm tour (for other farmers); Farm tour (for general public),"milk, chicken, eggs, kombucha, sauerkraut",,,schneider@ferme-reveuse.ca,613-799-7990,https://ferme-reveuse.ca,"Curran, Ontario",https://regenerationcanada.org/en/ferme-reveuse/,https://regenerationcanada.org/en/map/
Benjamin Bridge,Seeds,Farm tour (for other farmers); Farm tour (for general public); Internship program,"wine, wine experiences, tours and tastings",,,wines@benjaminbridge.com,1-902-542-1560,https://benjaminbridge.com,"Gaspereau, Nova Scotia",https://regenerationcanada.org/en/benjamin-bridge/,https://regenerationcanada.org/en/map/
Capella Meadows,Beef; Pork; Vegetables; Dairy,Farm equipment sharing; Farm tour (for other farmers); Internship program,"Goat cheese, Goat Meat, Wheat Flour, Red Beets, Squash, Potatoes",,,mail@capellameadows.ca,,https://capellameadows.ca,"Brussels , Ontario",https://regenerationcanada.org/en/capella-meadows/,https://regenerationcanada.org/en/map/
Hillview,Beef; Poultry,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public),"Beef, poultry, eggs, chicken, turkey, rabbit",,,cory@vgmeats.ca,5194277778,https://vgmeats.ca,"Cayuga, ON",https://regenerationcanada.org/en/hillview/,https://regenerationcanada.org/en/map/
Borderland Agriculture,Beef; Pork; Lamb; Mixed farming; Other / multiple categories,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Bison Meat, Honey, Cover Crop Seed, Grass Finished Beef",,,whites@borderlandagriculture.com,,https://borderlandagriculture.com,"Pierson, Manitoba",https://regenerationcanada.org/en/borderland-agriculture/,https://regenerationcanada.org/en/map/
Nerbas Bros. Angus,Beef,,Beef,,,agnerbas@gmail.com,204-773-6800,https://www.nerbasbrosangus.com,"Shellmouth, Manitoba",https://regenerationcanada.org/en/nerbas-bros-angus/,https://regenerationcanada.org/en/map/
Hickory Hill Forest Farm,Beef,,Grass finished beef,,,cindyschnaithmann@gmail.com,9059121980,https://hickoryhillforestfarm.com,"FRANKFORD, ON",https://regenerationcanada.org/en/hickory-hill-forest-farm/,https://regenerationcanada.org/en/map/
Arch Lea Farm,Beef; Pork,Farm equipment sharing; Farm tour (for other farmers),"Grass-fed beef, Pastured chicken",,,archleafarm@gmail.com,,https://www.archleafarm.com/,"Cumberland, ON",https://regenerationcanada.org/en/arch-lea-farm/,https://regenerationcanada.org/en/map/
Coleman Meadows Farm,Beef; Dairy,,"Water Buffalo Cheese, Yogurt, Gelato and Meats",,,awpb@island.net,1(250)724-0876,https://www.facebook.com/colemanmeadowsfarm/,"Port Alberni, British Columbia",https://regenerationcanada.org/en/coleman-meadows-farm/,https://regenerationcanada.org/en/map/
Ferme Au Bon Vieux Temps,Beef; Poultry; Vegetables; Fruit,,"Veal, Chicken eggs, Duck eggs, Goose eggs, Chickens , Broilers, Lambs, Micro-greens, Diversified fruits and vegetables, Firewood, Sawn timber",,,panier.capsante@gmail.com,,https://facebook.com/panier.capsante,"Cap-Santé, Québec",https://regenerationcanada.org/en/ferme-au-bon-vieux-temps/,https://regenerationcanada.org/en/map/
Upland Organics,Pork; Lamb,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public),"Flax, Lentils, Durum, Sunflowers",,,allison@uplandorganics.ca,306-266-4646,https://uplandorganics.ca,"Wood Mountain, SK, CA",https://regenerationcanada.org/en/upland-organics/,https://regenerationcanada.org/en/map/
Farm One Forty,Beef; Pork; Lamb; Vegetables; Fruit; Grains; Mixed farming,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Internship program; Farm dinners and events,"Grass fed beef, grass fed lamb, pasture raised pork, eggs, honey, vegetables, fruits, berries, grains, pulses, lambskins",,,info@farmoneforty.ca,306-381-8931,https://farmoneforty.ca,"Vanscoy, SK",https://regenerationcanada.org/en/farm-one-forty/,https://regenerationcanada.org/en/map/
Ferme Desrosiers,Pork,Farm tour (for other farmers),"organic soybeans, organic corn, organic winter wheat, organic spring wheat",,,info@dtalign.ca,613-443-3072,,"St-Albert, Ontario",https://regenerationcanada.org/en/ferme-desrosiers/,https://regenerationcanada.org/en/map/
Ferme Ridel,Pork; Lamb,Soil testing; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public),"Corn, Soybean, Wheat",,,jf@ridel.com,450-210-0907,https://www.ridel.com,"Saint-Césaire, Québec",https://regenerationcanada.org/en/ferme-ridel/,https://regenerationcanada.org/en/map/
Domaine du Bocage,Fruit; Grains; Nuts; Honey & bee products; Mixed farming; Other / multiple categories,Farm tour (for other farmers); Farm tour (for general public); Workshops & trainings,"Jellies, Syrups, Coulis, Spreads, Vinaigrettes, Chocolates, Fruit leathers",,,domainedubocage@hotmail.com,418-826-0108,https://www.domainedubocage.org,"Saint-Ferréol-les-Neiges, Québec",https://regenerationcanada.org/en/domaine-du-bocage/,https://regenerationcanada.org/en/map/
Mon Panier Bio,Vegetables; Fruit,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Wwoofing,"Apple, Pear, Grape, Raspberry, Strawberry, Sea Buckthorn, Garlic, Asparagus, Eggplant, Beetroot, Broccoli, Bok choy, Swiss chard, Carrot, Celery, Mushroom, Cauliflower, Brussels sprouts, Green cabbage, Red cabbage, Chinese cabbage, Cucumber, Squash, Zucchini, Shallot, Fennel, Ginger, Beans, Kale, Spinach, Lettuce, Summer onion, Parsnip, Potato, Snap peas, Sweet pea, Leek, Pepper, Turnip, Radish, Melon radish, Black radish, Rutabaga, Tomato, Cherry tomato, Jerusalem artichoke",,,info@monpanierbio.com,450-889-8680,https://www.monpanierbio.com,"Saint-Félix-de-Valois, Québec",https://regenerationcanada.org/en/mon-panier-bio_/,https://regenerationcanada.org/en/map/
Tawse Family Vineyards,Beef; Poultry; Fruit; Seeds,Farm tour (for other farmers); Farm tour (for general public),"Wine, Eggs",,,info@tawsewinery.ca,9055629500,https://tawsewinery.ca,"Vineland, Ontario",https://regenerationcanada.org/en/tawse-family-vineyards/,https://regenerationcanada.org/en/map/
Signal ranch,Beef; Poultry; Grains; Honey & bee products; rpc14; Other / multiple categories,Workshops & trainings; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public),"Beef, lamb, wool, wildflowers",,,sigurdur50@gmail.com,2043082338,,"Fisher branch , Mb",https://regenerationcanada.org/en/signal-ranch/,https://regenerationcanada.org/en/map/
Fleurs de Ferme,Honey & bee products,Workshops & trainings; Internship program; Wwoofing,"Specialty cut flowers, Bouquets, Wedding flowers, Events flowers, CSA bouquets subscription",,,fleursdeferme@gmail.com,450-521-8931,https://www.fleursdeferme.ca,"Sainte Christine, Québec",https://regenerationcanada.org/en/fleurs-de-ferme/,https://regenerationcanada.org/en/map/
Le bison des plaines,Beef; Pork; Lamb; Other / multiple categories,Farm tour (for other farmers); Farm tour (for general public),"Bison meat, live bison, hay, flax seed",,,cjsaquet@ymail.com,2048352302,,"Laurier, MB",https://regenerationcanada.org/en/le-bison-des-plaines/,https://regenerationcanada.org/en/map/
Earth Temple Gardens,Vegetables,Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Farm dinners and events,"Lettuce heads, Carrots, Beets, Salad Greens, Culinary Herbs, Cabbages, Winter Storage Crops, Brussel Sprouts, Cucumbers, Radicchio, Peas and Beans, Leek and Onions",,,earthtemplegardens@gmail.com,250-366-4618,https://www.earthtemplegardens.ca,"Argenta, British Colombia",https://regenerationcanada.org/en/earth-temple-gardens/,https://regenerationcanada.org/en/map/
Cicada Seeds,Value-added products; Other / multiple categories,Workshops & trainings,"Perennial vegetable seeds, seeds, flower seeds, herb seeds, plant starts",,,cicadaseeds@gmail.com,,https://cicadaseeds.ca,"Errington, British Columbia",https://regenerationcanada.org/en/cicada-seeds/,https://regenerationcanada.org/en/map/
Heidi’s Peak Estate Vineyard Limited,Seeds,Farm equipment sharing; Farm tour (for other farmers); Volunteer program,Wine grapes,,,heidichristine@outlook.com,5198818372,https://www.heidisvineyard.com,"Okanagan Falls, BC",https://regenerationcanada.org/en/heidis-peak-estate-vineyard-limited/,https://regenerationcanada.org/en/map/
Hodgins Farm,Beef; Poultry; Mixed farming; Other / multiple categories,Farm tour (for other farmers); Farm tour (for general public); Volunteer program,"Grass Fed Beef, Pastured Pork, Natural Lamb, Pastured Chicken, Pastured Turkey, Natural Raw Honey, Free Range Eggs",,,hodgins_lisa@hotmail.com,204-838-2285,https://www.hodginsfarm.com/,"Lenore, Manitoba",https://regenerationcanada.org/en/hodgins-farm/,https://regenerationcanada.org/en/map/
Agua Dulce Farm,Poultry; Vegetables; Fruit; Grains; Nuts; Honey & bee products; Value-added products; Mixed farming; rpc14,Workshops & trainings; Farm tour (for other farmers); Volunteer program; Wwoofing,"market vegetables, herbs, eggs, berries, orchard fruit, alpaca fibre",,,aguadulcefarm@gmail.com,+1 2508888788,,"Victoria, BC",https://regenerationcanada.org/en/agua-dulce-farm/,https://regenerationcanada.org/en/map/
Mans Organics,Vegetables,,"Onions, Shallots, Garlic, Winter Squash, Watermelons, Cantaloupe, Honeydew, Rhubarb, Tomatoes, Peppers, Cucumbers, Eggplant, Ginger, Turmeric",,,mail@mansorganics.ca,,https://mansorganics.ca,"Coaldale, Alberta",https://regenerationcanada.org/en/mans-organics/,https://regenerationcanada.org/en/map/
Nature\'s Apprentice Farm,Poultry; Vegetables; Honey & bee products,Pick-your-own; Farm tour (for other farmers); Farm tour (for general public),"Salad greens, Root vegetables, Summer fruits, Herbs, Garlic, Ginger, U-pick flowers, Eggs",,,naturesapprenticefarm@gmail.com,613-255-5509,https://naturesapprenticefarm.ca,"Pakenham, Ontario",https://regenerationcanada.org/en/natures-apprentice-farm/,https://regenerationcanada.org/en/map/
Hansen Beef,Beef; Pork; Lamb; Other / multiple categories,,Beef/ pork,,,colbyuphill@hotmail.ca,7803072574,https://facebook.com/hansenbeef,"Tawatinaw , Ab",https://regenerationcanada.org/en/colby-hansen/,https://regenerationcanada.org/en/map/
Organics Farm,Fruit; Grains,Pick-your-own,"Strawberries, Apples",,,info@organicsfarm.ca,905-640-5206,https://www.organicsfarm.ca,"Markham, Ontario",https://regenerationcanada.org/en/organics-farm/,https://regenerationcanada.org/en/map/
Hjertaas Farm,Beef,Farm tour (for other farmers); Farm tour (for general public); Farm dinners and events,"Beef, Chicken, Lamb",,,hjertaas1@icloud.com,306-840-7223,,"Redvers, Saskatchewan",https://regenerationcanada.org/en/hjertaas-farm/,https://regenerationcanada.org/en/map/
Deer Meadow Farmacy,Beef; Poultry; Fruit; Grains; Nuts; Other / multiple categories,Activities for kids; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Wwoofing; Employment opportunities,"Pasture-raised beef and lamb, Pasture-raised broiler chickens and eggs, Forest-raised pork, Snack sticks with immunity boosting medicinal mushroom extracts, Regeneratively grown fruit and nuts, Pet treats, Log-grown mushrooms",,,farmfamily@deermeadowfarmacy.com,(204) 851-5459,https://deermeadowfarmacy.com,"Oak Lake, Manitoba",https://regenerationcanada.org/en/deer-meadow-farmacy/,https://regenerationcanada.org/en/map/
